e_id,cdp_name,cpd_year,data_origin
176,RICS/ CIOB CPD requirements,2021,demo
176,RICS/ CIOB CPD requirements,2020,demo
178,Construction Skills Certification Scheme (CSCS),2027,demo
178,SMSTS,2017,demo
94,RIBA Health and Life Safety Test,2025,demo
94,JCT Contract Administration Training,2023,demo
135,Associate Project Manager Level 4,2025,demo
75,APS Accredited – Principal Designer under CDM 2015,2022,demo
75,Construction Skills Certification Scheme (CSCS),2023,demo
64,RIBA Core CPD 2025 - Fee Negotiation: Practical Skills for a Resilient Business,2025,demo
64,RIBA Core CPD 2025 - Creating Safe and Healthy Environments,2025,demo
64,2024 RIBA Core CPD Topic 9: Improving environmental performance of heritage buildings,2024,demo
64,2024 RIBA Core CPD Topic 6: Materials and calculating carbon,2024,demo
64,RIBA CPD - Air Leakage and Fire Performance in Façade Systems,2024,demo
179,Construction Skills Certification Scheme (CSCS),2021,demo
179,RICS – Professionalism Module,2025,demo
181,Autodesk Revit Architecture Certified User Training Course,2017,demo
156,Construction Skills Certification Scheme (CSCS),2021,demo
73,"Equity, diversity and inclusion",2025,demo
73,External wall insulation and interstitial condensation calculations,2025,demo
57,CPD - Building Refurbishment: Systems for Retrofit & Conservation,2025,demo
57,2024 RIBA Core CPD Topic 9: Improving environmental performance of heritage buildings (In practice),2024,demo
57,CPD - Drainage: The Basics,2024,demo
57,ACC Overview / Training,2024,demo
57,JCT Contract Workshop,2024,demo
57,Working at Heights Training,2024,demo
57,Internal BIM Training,2024,demo
63,CSCS card,2024,demo
63,NEC4 Project Management Accreditation,2025,demo
181,RIBA Core CPD 2025 - Creating Safe and Healthy Environments,2025,demo
181,Phase 2 Ground Investigation Scoping Requirements - Alan Wood,2025,demo
181,RIBA Core CPD 2025 – Fee Negotiation,2025,demo
181,EWI & Interstitial Condensation Calculations - Sika,2025,demo
181,Sustainable Urban Drainage Solutions - Alan Wood,2025,demo
181,Building Refurbishment: Systems for Retrofit & Conservation – Proctor Group,2025,demo
51,Building Safety Act Training,2024,demo
51,PAS 2038: 2021 Training (Retrofitting non-domestic buildings for improved energy efficiency),2024,demo
51,PAS 2035: 2021 Training (Retrofitting dwellings for improved energy efficiency),2023,demo
51,RICS Asbestos Training – Legal Requirements and Best Practice,2021,demo
51,RICS JCT Delivering Construction Projects Training,2021,demo
51,RICS NEC4 Engineering & Construction Contracts Training,2021,demo
183,Design of Reinforced concrete (Thomas Telford),2025,demo
183,Design of Steel Building Structures (Thomas Telford),2018,demo
24,Coaction webinar series (PassivHaus),2025,demo
24,Non-Higher Risk Buildings: The New Process,2024,demo
24,Approved Document B: Second Staircase,2024,demo
50,Coaction webinar series (PassivHaus),2025,demo
50,Non-Higher Risk Buildings: The New Process,2024,demo
50,Approved Document B: Second Staircase,2024,demo
48,Construction Skills Certification Scheme (CSCS),2023,demo
49,Trees in the Urban Realm – GreenBlue Urban,2024,demo
185,SuDS CPD,2025,demo
185,Access CPD,2025,demo
185,BNG for Landscape Professional (Biodiversity Net Gain),2024,demo
185,Construction Skills Certification Scheme (CSCS),2020,demo
78,Construction Skills Certification Scheme (CSCS),2023,demo
186,Howes Percival Planning Law Seminar Roadshow,2025,demo
186,Howes Percival Planning Law Seminar Roadshow,2024,demo
186,"RTPI – Ilke Homes, Revolutionising Housing Supply",2023,demo
186,RTPI – Using Green Infrastructure effectively to meet BNG,2023,demo
186,RTPI Impactful Planning Communication CPD Masterclass,2022,demo
186,RTPI Planning Law Update,2022,demo
186,RTPI Planning Law Update,2021,demo
186,Young Planners Conference ,2021,demo
80,UK Responds to Grenfell Enquiry – Seminar 1 Hr,2025,demo
80,Building Safety Act – Training Course 7 Hrs,2025,demo
80,Online CPD – Fire Doors and Sets Design Guidance 1 Hr,2025,demo
187,Change Management (online course),2025,demo
187,Fighting Fraud (online course),2025,demo
187,"Bribery, Corruption for Governance, Risk and Compliance (online course)",2025,demo
188,Construction Skills Certification Scheme (CSCS),2025,demo
114,"Norse/HR, New PDR interview process  ",2024,demo
114,"NPS presentation, ‘Net Zero Structural Design’ in our buildings ",2024,demo
114,"CIHT Learning, An Introduction - Transport Decarbonisation ",2024,demo
189,BCIS Seminar – Autumn Budget in the Construction Industry,2024,demo
189,Exeter Property Forum – Sustainable Development,2024,demo
189,M&E Quantity Surveying Lunch and Learn Seminar ,2024,demo
189,JCT Contract 2024 – CPD Webinar,2024,demo
189,Decarbonisation of Buildings Webinar,2024,demo
123,RIBA Principal Designer Course (CDM Regulations & Building PRegulations) Autumn 2024 – 9 hours,2025,demo
159,Visual alarm devices for fire alarm system,2025,demo
159,Built intelligent,2025,demo
159,Fire Doors,2025,demo
159,Energy CPD,2025,demo
159,Advancing decarbonisation in building projects,2025,demo
104,NFCI – Structural Safety and Competence Seminar,2025,demo
104,Habitat for Humanity – Sustainable homes Seminar,2025,demo
104,Education Estates SEND Conference 2025,2025,demo
104,NCE Planning Policy Update ,2025,demo
104,RIBA PD Course (CDM & Building Regulations),2024,demo
104,Building Safety Act in house training,2024,demo
190,Level 3 Surveying Technician Diploma ,2025,demo
190,RICS Associate Member ,2025,demo
191,Remote Pilot Certificate of Competence - GVC,2024,demo
191,Construction Skills Certification Scheme (CSCS),2020,demo
191,Theoretical Assessment and Operational Flight Assessment,2017,demo
108,Structural Safety,2025,demo
108,Ground Source Heat Pumps,2025,demo
108,Building Safety Act 2022 general in-house training,2024,demo
108,RIBA Principal Designer Course (CDM Regulations & Building Regulations),2024,demo
108,Dilapidations,2024,demo
108,CDM Regulations 2015,2024,demo
108,Education Estates Net Zero ,2024,demo
108,Autodesk Revit ,2024,demo
192,CPD – Asset Valuation Circle – Chris Brain (E-Learning Course),2025,demo
192,"CPD – Dilapidations – Norse, Concorde Solicitors, Datum Building Consultancy Ltd",2024,demo
192,IOSH – Managing Safely,2023,demo
192,CSCS – Academically Qualified Person/Manager,2025,demo
193,Reading Technical Literature 12 hours,2025,demo
193,Attending Training -all for one – 48 hours,2025,demo
193,Pre training work -All for one- 8 hours,2025,demo
193,Asbestos P402 and P405 refresher training- 14 hours,2025,demo
194,Revit Architecture Essentials - Graitec,2021,demo
194,Revit Family Creation Fundamentals – Pinnacle,2023,demo
194,Revit Family Creation Advanced – Pinnacle,2023,demo
136,CDM For Principal Designers and Designers,2024,demo
136,Building Safety Act 2022 General Training,2024,demo
