e_id,eh_company,eh_location,eh_role,eh_start,eh_end,data_origin
180,Nordwick (London),"London, UK",Structural Technician,2010,2014,demo
180,Nordwick (North),North UK,Surveyor,2004,2010,demo
181,Nordwick (North),North UK,Part 2 Architectural Assistant,2024,,demo
181,Elmbury Solutions,UK,Part 2 Architectural Assistant,2022,2024,demo
181,Elmbury Solutions,UK,Architectural Assistant (Summer Temp),2021,2021,demo
181,Elmbury Solutions,UK,Part 1 Architectural Assistant,2018,2020,demo
73,Nordwick (North),North UK,Architect,2019,,demo
73,Evershaw Ltd,UK,Part 2 architectural assistant and architect,2013,2019,demo
73,Westrovia Services,UK,Part 2 architectural assistant,2012,2013,demo
73,Norham Consulting,UK,Part 2 architectural assistant,2011,2013,demo
73,Selgarth Associates,UK,Part 1 architectural assistant,2008,2009,demo
57,Nordwick (North),North UK,Architectural Technician,2020,,demo
57,Markridge Group,UK,Architectural Technician,2018,2019,demo
182,Nordwick (Central),Central UK,Technical Support Assistant,2019,,demo
182,Lintonwell Services,UK,Business Support Assistant,2018,2019,demo
182,Fairbank Consulting,UK,Business Support Assistant,2014,2018,demo
182,Millgate Solutions,UK,Area Manager Logistics,2003,2013,demo
51,Nordwick (South),South UK,Chartered Building Surveyor,2022,,demo
51,Nordwick (South),South UK,Chartered Building Surveyor,2012,2022,demo
51,Nordwick (South),South UK,Building Surveyor,2009,2012,demo
51,Nordwick (South),South UK,Assistant Building Surveyor,2007,2009,demo
51,Stanhill Group,UK,Trainee Building Surveyor,2006,2007,demo
183,Nordwick (South),South UK,Associate Engineer,2025,,demo
183,Elliston Rowe Ltd,UK,Resident Engineer,2024,2025,demo
183,Oxenford Services,UK,Principal Engineer,2022,2024,demo
183,Elliston Rowe Ltd,UK,Senor Structural Engineer,2021,2022,demo
183,Ashmere Consulting,UK,Structural Design Engineer,2021,,demo
24,Nordwick (South),South UK,Senior Architectural Technician,2018,,demo
24,Newcroft Group,UK,Architectural Technician,2015,2018,demo
24,Whitton Solutions,UK,Architectural Assistant,2013,2014,demo
50,Bramwell Services,UK,Architectural Assistant,1990,1996,demo
50,Loxley Group,UK,Architectural Assistant,1996,2003,demo
50,Nordwick (South),South UK,Architectural Technician,2003,,demo
48,Nordwick (South),South UK,Senior Architectural Technician,2009,,demo
48,Alderwick & Moss,UK,Architectural Technician,2004,2009,demo
49,Duncrest Holdings,UK,Senior Architectural Technician,2023,,demo
49,Duncrest Holdings,UK,Junior Architectural Technician,2018,2021,demo
49,Fairburn Consulting Group,UK,Architectural Technician,2021,2023,demo
49,Nordwick (South),South UK,CAD Technician,2017,2018,demo
166,Nordwick (North),North UK,Mechanical Engineer,2025,,demo
166,Redhaven Partners,UK,MEP Consultant,2024,2025,demo
166,Northbridge Advisory,UK,Technical Associate Director,2005,2024,demo
166,Casterly Holdings,UK,Senior Engineer,2000,2005,demo
88,Nordwick (North),North UK,Architectural Technician,2015,,demo
88,Hallcroft Consulting,UK,Architectural Technician,1979,,demo
184,Nordwick (Central),Central UK,Associate Director—Planning,2024,,demo
184,Nordwick (Central),Central UK,Senior Planning Consultant,2006,2024,demo
184,Westford & Denton,UK,Planning Officer (Planning Policy),2005,2006,demo
184,Devoncrest Ltd,UK,Planning Officer (Development Control),2001,2005,demo
184,Bristow & Whitaker,UK,Planning Assistant (Development Control),2001,2001,demo
185,Nordwick (North),North UK,Landscape Architect,2020,,demo
185,Lindale Partners,UK,Senior Landscape Architect,1992,2012,demo
185,Elmhurst Strategic,UK,Assistant Landscape Architect,1992,1992,demo
185,Denholm Advisory,UK,Landscape Assistant,1989,1990,demo
78,Nordwick (North),North UK,Building Surveying Manager,2023,,demo
78,Nordwick (North),North UK,Senior Building Surveyor,2016,2023,demo
78,Brimley Strategic Services,UK,Contract Senior Building Surveyor,2014,2016,demo
78,Kingswell Associates,UK,Project Manager,2013,2014,demo
78,Hartwell Group,UK,Senior Building Surveyor,2002,2012,demo
78,Hartwell Group,UK,Contract Building Surveyor,2000,2002,demo
78,Brockley Consulting,UK,Contract Building Surveyor,1999,2000,demo
78,Brimley Strategic Services,UK,Architectural Technician,1986,1999,demo
186,Nordwick (Central),Central UK,Planning Consultant,2022,,demo
186,Nordwick (Central),Central UK,Graduate Planning Consultant,2020,2022,demo
80,Nordwick (North),North UK,Residential Lead Commercial,2020,,demo
80,Nordwick (North),North UK,QS Team Manager,2017,2020,demo
80,Nordwick (North),North UK,Chartered/Senior QS,2014,2017,demo
80,Kentford Advisory,UK,Short Term Business Development,2014,2014,demo
80,Mortimer Hill Group,UK,Contracting Team Lead,2012,2014,demo
80,Wentworth Advisory,UK,M&E Quantity Surveyor,2004,2012,demo
80,Kentford Advisory,UK,Ventilation Systems manufacture/installation,2000,2004,demo
187,Nordwick (Central),Central UK,Associate Managing Consultant,2021,,demo
187,Redvine Consultants,UK,Programme Manager,2020,2021,demo
187,Redvine Consultants,UK,Senior Transformation Advisor,2017,2020,demo
187,Redvine Consultants,UK,Transformation Advisor,2016,2017,demo
188,Nordwick (Central),Central UK,Land Surveyor,1998,,demo
114,Claremont Advisory,UK,CAD CAM Manager,1980,2002,demo
114,Devoncrest Ltd,UK,Highway DesignTechnician,2002,2007,demo
114,Hadley & Co.,UK,Highway Design Engineer,2007,2015,demo
114,Nordwick (Central),Central UK,Associate Director - Civil Engineering,2015,,demo
189,Nordwick (South),South UK,Senior Quantity Surveyor.,2025,,demo
189,Cranford Hill Partners,UK,Associate Director.,2021,2025,demo
189,Weatherby Strategic Services,UK,Associate Director.,2000,2021,demo
189,Whitwood Management,UK,Quantity Surveyor.,1995,2000,demo
189,Ashwick Advisory,UK,Assistant Quantity Surveyor.,1993,1994,demo
189,Greenford Analytics,UK,Part Time Technical Drawing Assistant.,1989,1991,demo
123,Thornton & Vale,UK,Lead Architectural Designer,2014,2021,demo
123,Birchglen Associates,UK,Associate Architect,2007,2014,demo
123,Birchglen Associates,UK,Architectural Assistant,2004,2007,demo
104,Nordwick (Central),Central UK,Architect,2022,,demo
104,Arlingford Consulting,UK,Architect / Part III Architectural Assistant,2019,2022,demo
104,Bramcote Advisory,UK,Part I Architectural Assistant,2016,2017,demo
104,Redford & Rowe,UK,Part I Architectural Assistant,2015,2016,demo
190,Nordwick (Central),Central UK,Assistant Land Surveyor,2022,,demo
190,Ellingwood Group,UK,Night Receptionist,2020,2022,demo
190,Westlawn Partners,UK,Business Admin and Accounts Assistant,2019,2020,demo
191,Nordwick (Central),Central UK,Land Surveyor,2016,,demo
191,EstateLine Services,UK,Assistant Land Surveyor,2014,2016,demo
108,Nordwick Consulting,UK,Senior Chartered Architect,2023,,demo
108,Crestford Property Group,UK,"Project Architect, Architect",2019,2023,demo
108,MeasureRight Surveying,UK,"Architect, Architectural Assistant Part II / III",2013,2018,demo
108,LandPoint Associates,UK,Architectural Designer,2011,2011,demo
192,Nordwick Consulting,UK,Valuation Assistant,2023,,demo
192,Nordwick (Central),Central UK,Project Manager,2023,2023,demo
192,BuiltForm Solutions,UK,Higher Executive Officer,2021,2023,demo
192,EstateVision Consultancy,UK,Site Manager,2017,2020,demo
192,PrimeBuild Services,UK,Project Manager,2015,2017,demo
193,Nordwick (London),"London, UK",Director of Bld Surveying & Projects,2019,2022,demo
193,Nordwick (London),"London, UK",Associate Project Manager,2017,2019,demo
193,Nordwick (London),"London, UK",Programme Manager,2008,2017,demo
193,Nordwick (London),"London, UK",Planned Maintenance- T/Leader,2007,2008,demo
193,GroundPeak Developments,UK,Building Surveyor,1989,2007,demo
193,UrbanShape Property,UK,Apprentice to Building Surveying,1978,1989,demo
194,Nordwick (Central),Central UK,Senior CAD Technician,2022,,demo
194,Nordwick (Central),Central UK,CAD Technician,2014,2022,demo
194,TerraVista Survey Group,UK,Draughtsman,2012,2014,demo
194,Nordwick (Central),Central UK,CAD Technician,2002,2012,demo
136,Nordwick (Central),Central UK,Architectural Assistant,2023,,demo
136,Alderwick Consultancy,UK,Architectural Assistant,2018,2023,demo
