e_id,q_type,q_name,q_institution,q_year,data_origin
27,Academic,NVQ Level 6 Diploma in Occupational Health and Safety Practice,UK College,2021,demo
27,Professional,RMaPS Examinations,N/A,2015,demo
27,Professional,CertIOSH,N/A,2021,demo
42,Professional,FRICS,N/A,1998,demo
14,Professional,ARB Registered,N/A,2025,demo
143,Academic,BTEC ONC in Civil Engineering,UK College,1992,demo
143,Academic,BTEC HNC in Civil Engineering,UK College,1994,demo
143,Academic,"MSc in Occupational H&S, Management and Law (Distinction)",UK University,2008,demo
143,Academic,NEBOSH Diploma - Part 1,UK College,2006,demo
143,Professional,MICE ,N/A,1998,demo
143,Academic,IEng,UK University,1998,demo
144,Professional,Chartered Engineer (CEng) - ICE,N/A,2020,demo
144,Academic,Bachelor of Engineering (BEng) - Civil Engineering,UK University,2015,demo
144,Academic,Master of Science (MSc) - Structural Engineering,UK College,2017,demo
144,Professional,Project Management Professional (PMP),N/A,2021,demo
144,Professional,Institution of Civil Engineers (ICE) Membership,N/A,2018,demo
72,Professional,Incorporated Membership of the Association of Project Safety (IMaPS),N/A,2017,demo
59,Professional,Registered with the Architects Registration Board (ARB),N/A,2003,demo
59,Professional,PAS 2035 Retrofit Designer,N/A,2022,demo
116,Professional,Associate Member BIID ,N/A,2020,demo
134,Professional,Registered with the Engineering Council - Incorporated Engineer,N/A,2020,demo
134,Professional,236 Part 1 – Electrical Installation Work,N/A,1998,demo
134,Professional,236 Part 2 – Electrical Installation Work,N/A,1989,demo
56,Academic,PG Certificate in Advanced Architectural Research,UK University,2016,demo
56,Academic,RIBA Part III,UK University,1989,demo
56,Academic,PG Diploma in Architecture,UK University,1988,demo
56,Academic,BA (Hons) Architecture,UK School/College,1985,demo
56,Professional,Registered with   the Architects Registration Board (ARB),N/A,1989,demo
56,Professional,Member of the Royal Institute of British Architects,N/A,1997,demo
137,Academic,ONC Civil Engineering,UK College,1991,demo
137,Academic,First Certificate in Construction,UK College,1989,demo
145,Academic,Examen in Professional Practice & RIBA Part III Exemption ,UK University,2004,demo
145,Academic,Diploma in Architecture and RIBA Part II Exemption,UK University,2000,demo
145,Academic,BA (Hon) and RIBA Part I Exemption,UK University,1996,demo
145,Professional,Arb Member,N/A,2005,demo
145,Professional,RIBA Member/ Charted Practice,N/A,2005,demo
146,Academic,RIBA Architecture Postgraduate Diploma Professional Practice,UK University,2023,demo
146,Academic,RIBA Master of Architecture,UK University,2017,demo
146,Academic,BA (Hons) Interior Design and Environmental Architecture,UK University,2013,demo
146,Professional,Royal Institute of British Architects – Student Member,N/A,2018,demo
101,Professional,Royal institute of British Architects,N/A,2003,demo
101,Professional,Architects Registration Board,N/A,2003,demo
147,Academic,BSc (Hons) Quantity Surveying,UK University,2002,demo
147,Academic,BTEC HNC Building Studies,UK College,1999,demo
147,Academic,BTEC National Certificate Building Studies,UK College,1997,demo
147,Professional,Member of the Royal Institution of Chartered Surveyors,N/A,2004,demo
148,Academic,BA (Hons) Interior Design,UK University,1991,demo
148,Academic,MA Landscape Architecture (completion 2026),UK University,2026,demo
148,Professional,Chartered Society of Designers MCSD ,N/A,2010,demo
148,Professional,Prince 2 ,N/A,2005,demo
148,Professional,Construction Skills Certification Scheme (CSCS),N/A,1995,demo
119,Academic,HNC – Building Services Engineering Senior Technician,UK School/College,2026,demo
100,Academic,HNC in Construction and the Built Environment (Building Services Engineering),UK University,2019,demo
149,Academic,BEng (Hons) Building Services Engineering,UK University,2020,demo
149,Academic,HND Mechanical Engineering ,UK College,2018,demo
150,Academic,OND Building Studies,UK College,1987,demo
150,Academic,BSc. (Hons) Building Engineering ,UK School/College,1992,demo
150,Academic,MSc. Civil Engineering,UK University,1993,demo
150,Academic,MA Environmental Law,UK University,2006,demo
15,Professional,Chartered Institution of Building Services Engineers – Member,N/A,2018,demo
13,Professional,Chartered Institution of Building Services Engineers – Member,N/A,2009,demo
151,Academic,Master of Research (MRes) Environmental Science,UK University,2019,demo
151,Academic,BSc (with Hons),UK University,2021,demo
151,Professional,PRINCE2 Foundation,N/A,2024,demo
151,Professional,PRINCE 2 Practitioner,N/A,2024,demo
152,Academic,Advanced Manufacturing Technology (Electrical Engineering) HNC,UK College,1997,demo
152,Academic,Electrical Engineering ONC,UK College,1995,demo
152,Professional,Incorporated Engineer  -   MIET  -  Institute of Engineering and Technology,N/A,2004,demo
153,Academic,HNC Electrical Engineering,UK College,1985,demo
153,Academic,"Level 3 certificate in Design, Erection & Verification of Electrical Installations",UK School/College,2006,demo
153,Academic,Level 3 certificate in the Requirements for Electrical Installations,UK School/College,2008,demo
153,Professional,Institute of Engineering & Technology – Incorporated Member,N/A,2009,demo
153,Professional,British Research Institute – BREEAM Accredited Professional,N/A,2009,demo
153,Professional,   CIBSE – Level 5 Low Carbon Energy Assessor,N/A,2012,demo
153,Professional,The Association of Energy Engineers - Certified Measurement and Verification    Professional,N/A,2020,demo
85,Professional,Architects Registration Board Registration,N/A,2008,demo
154,Professional,Clerk of Works (Member status) ,N/A,2024,demo
154,Academic,Construction Site Manager L6 NVQ,UK School/College,2019,demo
154,Academic,Temp works Co-ordinator                                             ,UK School/College,2022,demo
154,Professional,Degree in Education and Professional development    University of Huddersfield ,N/A,2014,demo
154,Professional,Member of the institute of Clerk of Works and Construction Inspectorate                           ,N/A,2024,demo
154,Professional,Assessor for issuing of NVQ Qualifications L 1 -2 -3                  ,N/A,2013,demo
99,Professional,Institution of Civil Engineers – Chartered Member (MICE #65483342),N/A,2024,demo
99,Professional,Engineering Council UK – Chartered Member (CEng),N/A,2025,demo
109,Professional,Institute of Civil Engineers – Graduate Member GMICE ,N/A,2023,demo
115,Professional,Graduate Membership of Institution of Structural Engineers (ISTRUCTE) Membership Number: 072012601,N/A,2023,demo
125,Professional,Engineering Council UK – Chartered Member ( CEng )  ,N/A,2008,demo
155,Academic,City & guilds carpentry & joinery,UK College,1975,demo
155,Professional,Member of the Institute of Clerk of Works and Construction inspectorate ICWCI       ID= 7170,N/A,2007,demo
155,Professional,Upgraded to Fellow ,N/A,2017,demo
79,Professional,RICS APC Enrolment ,N/A,2023,demo
156,Academic,BSc (Hons) Quantity Surveying,UK University,2023,demo
156,Professional,Royal Institute of Charted Surveyors – Candidate Member (Enrolled in 2024) ,N/A,2024,demo
157,Academic,BA English Literature,UK University,2006,demo
157,Professional,GTP Teacher of English,N/A,2007,demo
3,Professional,BS 5839-1 Fundamentals in FD&A UNITS 1&2 - Fire Industry Association,N/A,2025,demo
158,Academic,BTEC HND Building Studies (Architectural Technology),UK University,2003,demo
159,Academic,10 “O” Levels,UK School/College,1975,demo
159,Academic,2 “A” Levels,UK School/College,1977,demo
159,Professional,Prince 2 Practitioner,N/A,2012,demo
160,Academic,BEng Building Services Engineering,UK University,2007,demo
160,Academic,HNC Building Services Engineering,UK University,2003,demo
160,Academic,BSc Construction Management,UK University,2000,demo
160,Academic,National Diploma in Construction Studies,UK College,1995,demo
160,Professional,CIBSE Chartered Institute of Building Services Engineers,N/A,2007,demo
161,Academic,Diploma in BIM Management,UK University,2016,demo
161,Academic,MSc Project Management,UK University,2010,demo
161,Academic,BSc (Hons) Quantity Surveying,UK University,1994,demo
161,Professional,MRICS – Member of the Royal Institution of Chartered Surveyors,N/A,2000,demo
162,Academic,Post Graduate Diploma in Surveying,UK College,2010,demo
162,Academic,BA (Hons) Accounting and Finance,UK University,2007,demo
162,Professional,MRICS – Member of the Royal Institution of Chartered Surveyors,N/A,2013,demo
163,Academic,Quantity Surveying degree,UK University,1986,demo
163,Professional,Royal Institution of Chartered Surveyors – MRICS,N/A,1991,demo
16,Professional,Royal Institute of British Architects – Chartered Member,N/A,2007,demo
16,Professional,ARB Registration,N/A,2007,demo
164,Academic,Master’s of Building Surveying  ,UK University,2022,demo
164,Professional,Chartered Institute of Architectural Technologists – Associate Member,N/A,2024,demo
165,Academic,MSc in Construction Management,UK University,2000,demo
165,Academic,Diploma in Quantity Surveying ,UK College,1997,demo
165,Academic,Diploma in Technology (Building),UK College,1996,demo
165,Professional,Membership of the Royal Institution of Chartered Surveyors (MRICS),N/A,2004,demo
165,Professional,RICS Assessor,N/A,2015,demo
11,Professional,Royal Institute of British Architects – Chartered Member,N/A,1992,demo
11,Professional,Architects Registration Board Registration,N/A,1992,demo
5,Professional,Chartered Institute of Architectural Technologists (CIAT) – Member,N/A,2014,demo
167,Academic,Master of Architecture ,UK University,2023,demo
167,Academic,BA (Hons) Architecture,UK University,2019,demo
168,Academic,"Diploma in Building Surveying, DipSurv",UK College,2000,demo
168,Academic,P405 Management if Asbestos in Buildings,UK College,2013,demo
168,Professional,Royal Institution of Chartered Surveyors – AssocRICS,N/A,1998,demo
140,Professional,Royal Institution of Chartered Surveyors – Chartered Member,N/A,2019,demo
140,Professional,Chartered Institute of Building – Chartered Member ,N/A,2011,demo
89,Professional,Association for Project Safety – Associate Member,N/A,2023,demo
169,Academic,C.I.O.B Site Management ,UK College,1991,demo
169,Academic,Bridge Course to H.N.C,UK College,1988,demo
169,Other,Licentiate City & Guilds 600 series,UK College,1987,demo
169,Other,C.I.T.B Site Manager’s Certificate ,UK College,2003,demo
169,Other,C.I.T.B Advanced Bricklaying,UK College,1986,demo
169,Other,C.I.T.B Scaffold Awareness,UK College,2013,demo
169,Other,NHBC Traffic Management course,UK College,2002,demo
169,Other,Rail Track PICOW,UK College,1997,demo
169,Other,Personal Track Safety,UK College,1997,demo
169,Other,4 day First Aid certificate,UK College,2016,demo
169,Professional,C.S.C.S card holder Platinum and Black,N/A,2011,demo
170,Professional,Chartered Member (CMLI),N/A,2012,demo
170,Academic,Masters in Landscape Architecture,UK University,2003,demo
170,Academic,"BA in Public, Urban & Environmental Affairs",UK University,2000,demo
139,Academic,NVQ5 Construction Project Management,UK School/College,2010,demo
139,Professional,Chartered Institute of Building – Chartered Member,N/A,2013,demo
171,Academic,BSc (Hons) Building Surveying,UK University,2017,demo
171,Academic,Wood Occupations NVQ Level 3 ,UK College,2007,demo
171,Professional,RICS APC Candidate,N/A,2025,demo
172,Academic,Architecture Postgraduate Diploma Professional Practice,UK University,2019,demo
172,Academic,Master of Architecture,UK University,2015,demo
172,Academic,BA (Hons) Architecture,UK University,2012,demo
172,Professional,Architects Registration Board Registration,N/A,2019,demo
173,Academic,Ordinary National Certificate (ONC) in Building Studies,UK College,1988,demo
173,Academic,Higher National Certificate (HNC) in Building Studies,UK College,1990,demo
173,Professional,Royal Institution of Chartered Surveyors – Associate Member Diploma,N/A,1998,demo
103,Professional,IHE Engineering Technician (EngTech),N/A,2023,demo
103,Professional,CSCS Car – Professionally Qualified Person,N/A,2023,demo
103,Professional,MHFA England Mental Health First Aider,N/A,2021,demo
103,Professional,ICE Quest Technician Scholarship,N/A,2017,demo
141,Academic,BTEC HNC Building Services Engineering ,UK School/College,1995,demo
81,Professional,Royal Institute of British Architects – Chartered Member,N/A,2011,demo
81,Professional,Architects Registration Board Registration,N/A,2011,demo
55,Professional,NEC4: ECC Project Manager Accreditation,N/A,2025,demo
174,Academic,BEng (Hons) - Building Services Engineering ,UK University,2019,demo
174,Academic,HND – Building Services Engineering,UK University,2017,demo
174,Academic,HNC – Building Services Engineering ,UK University,2016,demo
174,Academic,"Diploma, Electrical Installations ",UK College,2014,demo
174,Academic,"NVQ L4, Health & Social Care (Children & Young People. ",UK College,2012,demo
174,Professional,APM PFQ,N/A,2025,demo
174,Professional,Associate Member of APM ,N/A,2023,demo
174,Professional,Affiliate Member of CIBSE,N/A,2019,demo
175,Academic,BTEC National Certificate – Business & Finance,UK College,1983,demo
175,Academic,HNC – Business & Finance,UK College,1988,demo
175,Professional,Certificate in Management,N/A,1995,demo
175,Professional,Association of Accounting Technicians,N/A,1999,demo
175,Professional,Association for Project Management – Associate Member,N/A,2017,demo
66,Professional,Royal Institution of Chartered Surveyors: Associate Member (AssocRICS),N/A,2010,demo
66,Professional,Institute of Historic Building Conservation: Full Member (IHBC),N/A,2018,demo
66,Professional,Association for Project Safety: Certified Member (CMaPS),N/A,2012,demo
176,Professional,Member of the Royal Institute of Chartered Surveyors,N/A,1990,demo
176,Professional,Member of the Chartered Institute of Builders,N/A,1995,demo
177,Academic,MSc in Business Economics,UK University,1994,demo
177,Academic,BSc in Quantity Surveying,UK School/College,1989,demo
178,Academic,BTEC Higher National in Building Studies,UK College,1993,demo
178,Academic,BTEC National in Building Studies,UK College,1991,demo
178,Academic,"GCSES – Grade C - Eng Lit, Eng Lang, Maths, IT, French History, Physics",UK School/College,1988,demo
94,Professional,Royal Institute of British Architects – Chartered Member,N/A,2013,demo
94,Professional,Architects Registration Board Registration,N/A,2013,demo
94,Professional,ILM Level 3 – Leadership and Management ,N/A,2011,demo
64,Other,Construction Skills Certification Scheme (CSCS),UK College,2025,demo
179,Academic,BSc Quantity Surveying & Commercial Management,UK University,2023,demo
179,Professional,Royal Institute of Charted Surveyors – Candidate Member (Enrolled in 2024),N/A,2024,demo
180,Academic,EDEXCEL L3 BTEC NC in Civil Engineering,UK College,2009,demo
180,Academic,GNVQ Advanced in IT,UK College,1997,demo
181,Academic,Master of Architecture,UK University,2022,demo
181,Academic,BSc (Hons) Architecture,UK University,2018,demo
181,Professional,Royal Institute of British Architects – Student Member,N/A,2019,demo
57,Professional,CSCS Certification,N/A,2024,demo
182,Academic,6 ‘O’ Levels,UK School/College,1983,demo
183,Academic,BSc(Hons) Civil Engineering & CAD,UK University,2006,demo
49,Professional,Chartered Institute of Architectural Technologists – Associate Member,N/A,2024,demo
166,Academic,Bachelor of Engineering in Building Services Engineering,UK University,2000,demo
166,Professional,Corporate member of Building Services Operation and Maintenance Executives Society (MBSOMES)  ,N/A,2017,demo
166,Professional,Corporate member of Hong Kong Institute of Real Estate Administrators (MHIREA),N/A,2018,demo
166,Professional,Certificate of Registration of Electrical Worker C0 (Hong Kong),N/A,2021,demo
166,Professional,Property Management Practitioner (Tier 1) in Hong Kong,N/A,2022,demo
88,Professional,Construction Skills Certification Scheme (CSCS) ,N/A,2023,demo
184,Academic,"BA Hons, Geography",UK University,1998,demo
184,Academic,"Masters, Town and Country Planning ",UK University,2006,demo
184,Professional,Member of the Royal Town Planning Institute,N/A,2007,demo
185,Academic,Diploma Landscape Architecture,UK School/College,1991,demo
185,Academic,BA (Hons) Landscape Design,UK School/College,1989,demo
185,Professional,Chartered Member of The Landscape Institute,N/A,1996,demo
186,Academic,MSc Planning,UK University,2019,demo
186,Academic,BSc (Hons) Geography,UK University,2018,demo
186,Professional,Royal Town Planning Institute – Chartered Member,N/A,2022,demo
187,Academic,BA Hons Undergraduate Degree in Psychology and Applied Sociology,UK University,2008,demo
187,Professional,Institute of Leadership and Management Level 5,N/A,2018,demo
187,Professional,Managing Successful Programmes Foundation Certificate in Programme Management,N/A,2022,demo
187,Professional,Prince 2 Foundation and Practitioner Certificate in Project Management,N/A,2023,demo
187,Professional,Association of Project Management: Associate Member,N/A,2021,demo
188,Academic,HNC Building Studies,UK College,2003,demo
188,Professional,Royal Institute of British Architects – Associate Member,N/A,2022,demo
114,Professional,Affiliated member of the (CMI) Chartered Management Institute (lapsed),N/A,2013,demo
189,Academic,"BTEC National Diploma; Architecture, Civil Engineering & Surveying Studies. ",UK College,1991,demo
189,Academic,"BSc (Hons) Degree, Quantity Surveying (2:1).",UK University,1995,demo
189,Professional,Member of the Royal Institution of Chartered Surveyors (MRICS).,N/A,2009,demo
189,Professional,Member of the Association of Project Safety (IMaPS).,N/A,2009,demo
104,Professional,ARB,N/A,2021,demo
104,Professional,RIBA ,N/A,2021,demo
104,Professional,First Aider,N/A,2022,demo
104,Professional,Mental Health First Aider,N/A,2025,demo
190,Academic,Level 3 Engineering Diploma ,UK College,2019,demo
191,Academic,Bachelor’s degree in Geomatics Engineering and Topography,UK University,2015,demo
191,Academic,GIS Specialist,UK University,2014,demo
191,Academic,"HNC in Development of Town-Planning, Projects and Topographic Operations",UK School/College,2009,demo
191,Professional,Royal Institute of Chartered Surveyors – AssocRICS,N/A,2019,demo
108,Professional,Chartered member of the Royal Institute of British Architects,N/A,2018,demo
108,Professional,Architects Registration Board,N/A,2018,demo
192,Academic,Higher National Diploma – Construction Management,UK College,2020,demo
192,Academic,BTEC Extended Diploma - Construction,UK College,2015,demo
192,Professional,CSCS – Academic/Manager,N/A,2025,demo
193,Academic,Chartered Institute of Building  - Part 2,UK College,1993,demo
193,Academic,Chartered Institute of Building  - Part 1,UK College,1992,demo
193,Academic,HNC Building Studies,UK College,1990,demo
193,Academic,ONC Building Studies,UK College,1988,demo
193,Academic,BTEC Level 4 Professional Diploma in Fire Risk Assessment,UK College,2010,demo
193,Academic,Asbestos P402 & P405 Qualifications,UK College,2006,demo
193,Professional,Fellow of the Chartered Institute of Building,N/A,2010,demo
193,Professional,Member of the Association of Project Managers,N/A,2015,demo
193,Professional,MFPW Surveyor,N/A,2019,demo
194,Academic,City & Guilds Computer Aided Draughting using AutoCAD,UK College,1994,demo
194,Academic,BTEC National Diploma in Design (Graphic Design),UK College,1990,demo
136,Academic,Diploma in Architecture,UK College,2025,demo
136,Academic,Architecture BA (Hons),UK University,2018,demo
